archive.host_country               ,USA
document.contact_person            ,Kevin Wood
archive.notes                      ,National Archives and Records Administration
platform.name                      ,USRC Manning
document.id_within_archive         ,24407615
document.id_within_archive_type    ,naId
document.record_type               ,Logs of Revenue Cutters and Coast Guard Vessels
document.accession_to_archive_date ,2015-11-18
document.standardized_region_list  ,arctic
document.start_date                ,1914-01-01
document.end_date                  ,1914-12-31
document.rights_statement          ,public domain
document.notes                     ,https://catalog.archives.gov/id/24407615
