archive.archive_id	smallint(6)	NO	PRI	NULL	
archive.name	varchar(100)	NO		NULL	
archive.host_country	char(3)	NO		NULL	
archive.contact_person	varchar(255)	YES		NULL	
platform.platform_id	smallint(6)	NO	PRI	NULL	
platform.name	varchar(255)	NO		NULL	
platform.compass_type_of_instrument	enum('gyro','magnetic','unknown')	YES		NULL	
platform.compass_units	enum('degrees','cardinal directions')	YES		NULL	
platform.navigation_speed_type_of_instrument	enum('chip log','patent log','pit log','electromagnetic log','propeller rpm')	YES		NULL	
platform.navigation_speed_units	enum('knots','kilometers per second')	YES		NULL	
platform.scale_used_for_measuring_waves	varchar(40)	YES		NULL	
platform.scale_used_for_wind_speed	enum('beaufort','meters per second')	YES		NULL	
platform.anemometer_instrument_make_and_number	varchar(40)	YES		NULL	
platform.anemometer_instrument_exposure	varchar(40)	YES		NULL	
platform.atmospheric_pressure_units	enum('inches','hectopascals','millibars')	YES		NULL	
platform.atmospheric_pressure_type_of_instrument	varchar(40)	YES		NULL	
platform.atmospheric_pressure_instrument_make_and_number	varchar(40)	YES		NULL	
platform.atmospheric_pressure_instrument_exposure	varchar(40)	YES		NULL	
platform.temperature_units	enum('celcius','fahrenheit')	YES		NULL	
platform.dry_bulb_thermometer_make_and_number	varchar(40)	YES		NULL	
platform.dry_bulb_thermometer_exposure	varchar(40)	YES		NULL	
platform.wet_bulb_thermometer_exposure	varchar(40)	YES		NULL	
platform.wet_bulb_thermometer_make_and_number	varchar(40)	YES		NULL	
platform.sea_temperature_type_of_instrument	varchar(40)	YES		NULL	
platform.sea_temperature_instrument_make_and_number	varchar(40)	YES		NULL	
platform.sea_temperature_instrument_exposure	varchar(40)	YES		NULL	
platform.facility_description	varchar(1000)	YES		NULL	
document.document_id	smallint(6)	NO	PRI	NULL	
document.platform_id	smallint(6)	NO	MUL	NULL	
document.archive_id	smallint(6)	NO	MUL	NULL	
document.id_within_archive	varchar(255)	NO		NULL	
document.id_within_archive_type	varchar(255)	NO		NULL	
document.start_date	date	NO		NULL	
document.end_date	date	NO		NULL	
document.standardized_region_list	set('africa','antarctica','arabian_sea','aral_sea','arctic_ocean','asia','atlantic_arctic_ocean','atlantic_ocean','australia','baltic_sea','bering_sea','bering_strait','black_sea','canadian_archipelago','caribbean_sea','caspian_sea','central_america','chukchi_sea','davis_strait','denmark_strait','east_china_sea','english_channel','eurasia','europe','faroe_scotland_channel','great_lakes','greenland','gulf_of_alaska','gulf_of_mexico','hudson_bay','iceland_faroe_channel','indian_ocean','indian_pacific_ocean','indonesian_throughflow','indo_pacific_ocean','irish_sea','lake_baykal','lake_chad','lake_malawi','lake_tanganyika','lake_victoria','mediterranean_sea','mozambique_channel','north_america','north_sea','norwegian_sea','pacific_equatorial_undercurrent','pacific_ocean','persian_gulf','red_sea','ross_sea','sea_of_japan','sea_of_okhotsk','south_america','south_china_sea','southern_ocean','taiwan_luzon_straits','weddell_sea','windward_passage','yellow_sea')	YES		NULL	
document.is_instance_of_document_type	varchar(255)	YES		NULL	
document.rights_statement	varchar(255)	YES		NULL	
document.accession_to_archive_date	date	YES		NULL	
document.colloquial_region_list	varchar(1000)	YES		NULL	
document.notes	varchar(1000)	YES		NULL	
image.image_id	char(32)	NO	PRI	NULL	
image.document_id	smallint(6)	NO	MUL	NULL	
image.relative_order	int(4)	NO		NULL	
image.media_type	enum('image/bmp','image/gif','image/jp2','image/jpeg','image/png','image/tiff')	NO		NULL	
image.filesize	smallint(6)	YES		NULL	
image.local_start_date	date	YES		NULL	
image.local_start_time	time	YES		00:00:00	
image.local_time_zone	time	YES		NULL	
image.ut1_start_datetime	datetime	YES		NULL	VIRTUAL GENERATED
observation.observation_id	int(11)	NO	PRI	NULL	auto_increment
observation.image_id	char(32)	NO	MUL	NULL	
observation.is_cited_by_dataset_id	char(255)	NO		NULL	
observation.is_cited_by_dataset_id_type	char(32)	NO		NULL	
observation.time_after_image_start	time	YES		NULL	
observation.atmospheric_pressure_indicator	tinyint(1)	YES		NULL	
observation.dry_bulb_temperature_indicator	tinyint(1)	YES		NULL	
observation.wet_bulb_temperature_indicator	tinyint(1)	YES		NULL	
observation.unspecified_air_temperature_indicator	tinyint(1)	YES		NULL	
observation.sea_temperature_indicator	tinyint(1)	YES		NULL	
observation.wind_direction_indicator	tinyint(1)	YES		NULL	
observation.wind_speed_indicator	tinyint(1)	YES		NULL	
observation.cloud_form_indicator	tinyint(1)	YES		NULL	
observation.cloud_direction_indicator	tinyint(1)	YES		NULL	
observation.cloud_amount_indicator	tinyint(1)	YES		NULL	
observation.longitude	float(10,6)	YES		NULL	
observation.latitude	float(10,6)	YES		NULL	
observation.location_fix_indicator	tinyint(1)	YES		0	
observation.local_course	float(6,3)	YES		NULL	
observation.local_speed	float(6,3)	YES		NULL	
