Ship Name                                    ,Record Group,Entry Number,Box or Volume Number,Digital Directory ,Start Date,End Date,Box or Volume Number,Assets,Number of Images,Number of Pages,NARA URL,Geographic Focus
ABARENDA,24,118,vol03of39,vol03of39 (1900-04-01_1900-09-30),04/01/1900,09/30/1900,vol03of39,1,191,382,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol04of29,vol04of29 (1900-10-01_1901-04-12),10/01/1900,04/12/1901,vol04of29,1,205,410,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol05of29,vol05of29 (1901-04-01_1901-11-28),04/01/1901,11/28/1901,vol05of29,1,275,550,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol06of29,vol06of29 (1901-11-29_1902-06-30),11/29/1901,06/30/1902,vol06of29,1,232,464,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol07of29,vol07of29 (1902-07-01_1902-09-04),07/01/1902,09/04/1902,vol07of29,1,81,162,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol08of29,vol08of29 (1903-11-03_1904-07-03),11/03/1903,07/03/1904,vol08of29,1,327,654,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol09of29,vol09of29 (1904-07-04_1905-02-21),07/04/1904,02/21/1905,vol09of29,1,272,544,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol10of29,vol10of29 (1905-02-21_1905-05-31),02/21/1905,05/31/1905,vol10of29,1,110,220,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol11of29,vol11of29 (1905-06-01_1905-12-31),06/01/1905,12/31/1905,vol11of29,1,228,456,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol12of29,vol12of29 (1906-01-01_1906-06-30),01/01/1906,06/30/1906,vol12of29,1,191,382,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol13of29,vol13of29 (1906-07-01_1907-01-05),07/01/1906,01/05/1907,vol13of29,1,200,400,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol14of29,vol14of29 (1907-01-01_1907-06-30),01/01/1907,06/30/1907,vol14of29,1,190,380,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol15of29,vol15of29 (1907-07-01_1908-02-27),07/01/1907,02/27/1908,vol15of29,1,252,504,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol16of29,vol16of29 (1908-02-27_1908-10-21),02/27/1908,10/21/1908,vol16of29,1,251,502,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol17of29,vol17of29 (1908-10-22_1909-06-20),10/22/1908,06/20/1909,vol17of29,1,253,506,Shipped March 2017,Chinese Waters
ABARENDA,24,118,vol18of29,vol18of29 (1909-06-20_1909-10-06),06/20/1909,10/06/1909,vol18of29,1,119,238,Shipped March 2017,Chinese Waters
