Ship Name                                    ,Record Group,Entry Number,Box or Volume Number,Digital Directory ,Start Date,End Date,Box or Volume Number,Assets,Number of Images,Number of Pages,NARA URL,Geographic Focus
AIVIK,26,159-E,Box 2,aivik-1943-01,01/01/1943,01/31/1943,Box 2,1,38,73,https://catalog.archives.gov/id/23709293,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-02,02/01/1943,02/28/1943,Box 2,1,32,63,https://catalog.archives.gov/id/23709331,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-03,03/01/1943,03/31/1943,Box 2,1,36,71,https://catalog.archives.gov/id/23709365,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-04,04/01/1943,04/30/1943,Box 2,1,31,62,https://catalog.archives.gov/id/23709403,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-05,05/01/1943,05/31/1943,Box 2,1,35,69,https://catalog.archives.gov/id/23709436,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-06,06/01/1943,06/30/1943,Box 2,1,35,69,https://catalog.archives.gov/id/23709473,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-07,07/01/1943,07/31/1943,Box 2,1,36,71,https://catalog.archives.gov/id/23709510,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-08,08/01/1943,08/31/1943,Box 2,1,31,62,https://catalog.archives.gov/id/23709548,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-09,09/01/1943,09/30/1943,Box 2,1,35,69,https://catalog.archives.gov/id/23709581,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-10,10/01/1943,10/31/1943,Box 2,1,36,71,https://catalog.archives.gov/id/23709618,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-11,11/01/1943,11/30/1943,Box 2,1,31,62,https://catalog.archives.gov/id/23709656,Arctic
AIVIK,26,159-E,Box 2,aivik-1943-12,12/01/1943,12/31/1943,Box 2,1,38,75,https://catalog.archives.gov/id/23709689,Arctic
AIVIK,26,159-F,Box 6,aivik-1944-01,01/01/1944,01/31/1944,Box 6,1,36,71,https://catalog.archives.gov/id/23709729,Arctic
AIVIK,26,159-F,Box 6,aivik-1944-02,02/01/1944,02/29/1944,Box 6,1,35,69,https://catalog.archives.gov/id/23709767,Arctic
AIVIK,26,159-F,Box 6,aivik-1944-03,03/01/1944,03/31/1944,Box 6,1,36,71,https://catalog.archives.gov/id/23709804,Arctic
